ID,NameNoAuthors,LongitudeDecimal,LatitudeDecimal
632,Gilbertiodendron unijugum,11.00333,-3.68694
633,Sindora klaineana,11.01111,-3.68694
635,Crioceras dipladeniiflorus,9.92833,0.91444
637,Librevillea klainei,11.02833,-3.775
639,Sindora klaineana,11.01833,-3.67944
640,Eugenia klaineana,11.02861,-3.67194
641,Campylospermum paucinervatum,11.02722,-3.67416
642,Dalbergiella gossweileri,12.7667,-4.65
643,Bikinia congensis,14.9,-4.78333
644,Corynanthe mayumbensis,11.79472,-0.10027
645,Begonia dewildei,10.333333,-2.25
646,Begonia susaniae,10.366667,0.65
647,Scleria baroni-clarkei,14.0686111,-2.1191667
648,Memecylon klaineanum,14.06861,-2.11916
654,Pseudoprosopis gilletii,14.06111,-2.11944
658,Combretum inflatum,14.01111,-1.96388
659,Microberlinia brazzavillensis,14.01111,-1.96388
662,Dioncophyllum thollonii,14.06361,-2.11444
664,Pseudoprosopis gilletii,14.07777,-2.12083
666,Xylopia flamignii,14.07777,-2.12083
669,Maltebrunia le-testui,11.76666,-0.63333
676,Piptostigma macranthum,10.3667,0.4995
679,Calpocalyx letestui,10.3667,0.4995
680,Calpocalyx heitzii,10.3667,0.4995
681,Annickia letestui,10.3667,0.4995
685,Dorstenia involuta,10,2.85
686,Helixanthera periclymenoides,10.6167,3.21667
687,Utsetela gabonensis,11,-2.83333
690,Pararistolochia incisiloba,11.76666,-1.61666
692,Ardisia lethomasiae,13.1999,1.145
694,Neostenanthera neurosericea,10.4167,3.08333
695,Uvariodendron molundense var. citrata,13.2,1.13333
697,Magnistipula devriesii,10.78333,-0.06666
698,Connarus gabonensis,11.5667,0.4
699,Cnestis uncata,9.5,0.4
700,Pauridiantha mayumbensis,12.55722,-0.18694
701,Neochevalierodendron stephanii,12.545629,-0.171273
710,Aucoumea klaineana,14.06666,-2.11666
713,Dacryodes letestui,14.06666,-2.11666
714,Microberlinia brazzavillensis,14.06666,-2.11666
778,Paropsiopsis decandra,9.88333,-1.91333
785,Dacryodes buettneri,9.83333,-1.93333
786,Dacryodes igaganga,9.83333,-1.93333
787,Dacryodes igaganga,9.83333,-1.93333
788,Gilbertiodendron sulfureum,11.13573,-1.12086
789,Paropsiopsis decandra,9.3177778,0.32
792,Fegimanra africana,9.33333,-0.183333
793,Aucoumea klaineana,9.33333,-0.183333
887,Memecylon klaineanum,10.27805,0.46666
888,Cleistanthus gabonensis,10.2780556,0.4666667
889,Warneckea bebaiensis,10.27805,0.46666
1094,Microdesmis afrodecandra,11.1603,-1.03722
1095,Pseudoprosopis gilletii,11.1603,-1.03722
1096,Aucoumea klaineana,11.13527,-1.02694
1097,Dacryodes buettneri,11.13527,-1.02694
1098,Cnestis uncata,11.16027,-1.04027
1099,Costus tappenbeckianus,11.1602778,-1.0372222
1100,Aucoumea klaineana,11.16083,-1.03722
1101,Copaifera religiosa,11.16083,-1.03722
723,Campylospermum occidentale,9.38333,-0.055
725,Fegimanra africana,9.33333,-0.133333
726,Agelaea palmata,9.39694,-0.027778
730,Combretum inflatum,14.03222,-2.20944
731,Triaspis letestuana,12.7,-0.966667
735,Dichapetalum oliganthum,9.9,2.91666
736,Dichapetalum melanocladum,13.08333,-1.7
737,Dichapetalum choristilum var. louisii,11.7833,-1.66667
878,Aucoumea klaineana,10.41361,0.61722
879,Cleistanthus gabonensis,10.4136111,0.6172223
880,Dacryodes buettneri,10.41361,0.61722
881,Microdesmis afrodecandra,10.41361,0.61722
882,Warneckea floribunda,10.41361,0.61722
884,Bikinia durandii,10.27805,0.46666
886,Isomacrolobium hallei,10.27805,0.46666
891,Letestua durissima,11,-2.833333333
1056,Aucoumea klaineana,11.1830556,-1.0497222
1058,Corynanthe mayumbensis,11.1216667,-1.1075
1059,Begonia clypeifolia,11.1216667,-1.1075
1060,Macaranga gabunica,11.1747223,-1.1519444
1061,Dacryodes letestui,11.1577778,-1.1444444
1071,Microberlinia brazzavillensis,9.42583,-2.00916
1072,Microberlinia brazzavillensis,9.42583,-2.00916
1073,Microberlinia brazzavillensis,9.36083,-1.97333
1206,Diospyros soyauxii,9.3238889,0.1669445
1207,Mapania purpuriceps,9.3408333,0.1808334
1283,Calvoa maculata,10.4333333,0.8566667
1284,Pentaloncha humilis,10.245,0.4463889
1287,Delpydora macrophylla,10.2511111,0.4488889
1289,Dicranolepis pusilla,11.0897167,-1.1578333
1386,Begonia clypeifolia,11.7692778,-1.6231667
1396,Begonia ferramica,13.205,1.1225
1397,Begonia elatostemmoides,13.205,1.1225
739,Mareyopsis oligogyna,12.75,-0.7833333
740,Sorindeia oxyandra,10.4,0.616667
741,Plesiatropha klaineana,9.40722,-0.03333
742,Aucoumea klaineana,9.39111,-0.03333
746,Fegimanra africana,9.40722,-0.03333
752,Memecylon klaineanum,9.45,0.416667
753,Memecylon amshoffiae,10.5,3.46667
754,Warneckea mangrovensis,9.9166667,2.9666667
846,Whitfieldia brazzaei,14.05888,-2.07722
847,Strychnos canthioides,10.166667,3.166667
848,Diospyros longiflora,10.5,3.466667
955,Ixora synactica,10.53888,3.18194
956,Kupeantha spathulata,10.5466666,3.195
1063,Neochevalierodendron stephanii,9.66805,-2.21972
1064,Librevillea klainei,9.58027,-1.89027
1065,Vangueriopsis rubiginosa,9.67888,-2.24222
1066,Calpocalyx heitzii,9.58027,-1.89111
1067,Sindora klaineana,9.39361,-2.01416
1068,Sindora klaineana,9.345,-1.95666
1069,Pinacopodium congolense,9.42361,-1.96527
1070,Librevillea klainei,9.32916,-1.93
1113,Diospyros soyauxii,9.32472,0.30916
1117,Diospyros soyauxii,9.31527,0.28055
1118,Pinacopodium congolense,9.3275,0.1682
1203,Phyllocosmus calothyrsus,9.3180556,0.3225
1204,Fegimanra africana,9.3213889,0.3297223
758,Combretum gabonense,12.1667,2.16667
759,Sericanthe pellegrinii,11.8,-1.13333
761,Rhaptopetalum breteleri,12.9167,4.36667
762,Dacryodes heterotricha,11,-2.83333
763,Iridosma le-testui,11.7,-2.2
